,player,span,mat,inns,no,runs,hs,ave,bf,sr
93,R Tewatia (DC/GT/KXIP/RR),2014-2024,93,65,25,1013,53,25.32,752,134.7
94,KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72
95,MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9
96,AK Markram (PBKS/SRH),2021-2024,44,42,9,995,68*,30.15,767,129.72
97,H Klaasen (RCB/RR/SRH),2018-2024,35,32,6,993,104,38.19,590,168.3
98,Y Venugopal Rao (DC/DCH/SRH),2008-2014,65,54,10,985,71*,22.38,836,117.82
99,A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86
100,JA Morkel (CSK/DC/RCB/RPS),2008-2016,91,68,28,974,73*,24.35,686,141.98
101,CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35
102,LS Livingstone (PBKS/RR),2019-2024,39,39,6,939,94,28.45,578,162.45
103,BA Stokes (CSK/RPS/RR),2017-2023,45,44,6,935,107*,24.6,698,133.95
104,DP Conway (CSK),2022-2023,23,22,3,924,92*,48.63,654,141.28
105,RK Singh (KKR),2018-2024,46,40,11,893,67*,30.79,623,143.33
106,HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78
107,SM Curran (CSK/KXIP/PBKS),2019-2024,59,48,13,883,63*,25.22,647,136.47
108,STR Binny (MI/RCB/RR),2010-2019,95,68,22,880,48*,19.13,683,128.84
109,Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64,15.71,604,137.91
110,R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,94,34,800,50,13.33,675,118.51
111,RM Patidar (RCB),2021-2024,27,24,1,799,112*,34.73,503,158.84
112,MS Bisla (KKR/KXIP/RCB),2010-2015,39,39,1,798,92,21.0,702,113.67
113,Shakib Al Hasan (KKR/SRH),2011-2021,71,52,12,793,66*,19.82,637,124.48
114,TM Head (RCB/SRH),2016-2024,25,25,4,772,102,36.76,444,173.87
115,ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36
116,Prabhsimran Singh (KXIP/PBKS),2019-2024,34,34,-,756,103,22.23,517,146.22
117,GC Smith (PWI/RR),2008-2011,29,29,3,739,91,28.42,668,110.62
118,JM Sharma (PBKS),2022-2024,40,36,4,730,49*,22.81,483,151.13
119,AD Mathews (DC/KKR/PWI),2009-2017,49,42,11,724,65*,23.35,575,125.91
120,C Green (MI/RCB),2023-2024,29,28,11,707,100*,41.58,460,153.69
121,TL Suman (DCH/MI/PWI),2009-2013,43,40,8,676,78*,21.12,575,117.56
